Section,Question Number,Question,Options,Answer

I. Choose the appropriate answer,1,Which of the following is a derived unit?,"(a) mass
(b) time
(c) area
(d) length",(c) area

I. Choose the appropriate answer,2,Which of the following is correct?,"(a) 1L=lcc
(b) 1L= l0cc
(c) 1L= l00cc
(d) 1L= l000cc",(d) 1L = 1000cc

I. Choose the appropriate answer,3,SI unit of density is,"(a) kg/m2
(b) kg/m3
(c) kg/m
(d) g/m3",(b) kg/m3

I. Choose the appropriate answer,4,Two spheres have equal mass and volume in the ratio 2:1. The ratio of their density is,"(a) 1:2
(b) 2:1
(c) 4:1
(d) 1:4",(b) 2:1

I. Choose the appropriate answer,5,Light year is the unit of,"(a) Distance
(b) time
(c) density
(d) both length and time",(a) Distance

II. Fill in the blanks,1,Volume of irregularly shaped objects are measured using the law of _________,,Archimedes

II. Fill in the blanks,2,One cubic metre is equal to _________ cubic centimetre.,,10,00,000 or 1066

II. Fill in the blanks,3,Density of mercury is _________,,13,600 kg/m3

II. Fill in the blanks,4,One astronomical unit is equal to _________,,1.496×1011m

II. Fill in the blanks,5,The area of a leaf can be measured using a _________,,graph sheet

III. True or False,1,The region covered by the boundary of the plane figure is called its volume.,"False
Correct statement: The region covered by the boundary of plane figure is called its area."

III. True or False,2,Volume of liquids can be found using measuring containers.,,True

III. True or False,3,Water is denser than kerosene.,,True

III. True or False,4,A ball of iron floats in mercury.,,True

III. True or False,5,A substance which contains less number of molecules per unit volume is said to be denser.,"False
Correct statement: A substance which contains more number of molecules per unit volume is said to be denser."

IV. Match the following Set 1,1,Area,(a) light year,c

IV. Match the following Set 1,2,Distance,(b) m3,a

IV. Match the following Set 1,3,Density,(c) m2,e

IV. Match the following Set 1,4,Volume,(d) kg,b

IV. Match the following Set 1,5,Mass,(e) kg/m3,d

IV. Match the following Set 2,1,Area,(a) g/cm3,e

IV. Match the following Set 2,2,Length,(b) measuring jar,d

IV. Match the following Set 2,3,Density,(c) amount of a substance,a

IV. Match the following Set 2,4,Volume,(d) rope,b

IV. Match the following Set 2,5,Mass,(e) plane figures,c

V. Arrange in sequence,1,"1L, 100 cc, 10 L, 10 cc",,"10 cc, 100 cc, 1L, 10L"

V. Arrange in sequence,2,"Copper, Aluminium, Gold, Iron",,"Aluminium, Iron, Copper, Gold"

VI. Use the analogy,1,Area: M2 :: Volume : _________,,M3

VI. Use the analogy,2,Liquid : Litre :: Solid : _________,,cm3

VI. Use the analogy,3,Water: Kerosene :: _______ : Aluminium,,Iron

VII. Short Answer,1,What is fundamental quantity? Give examples.,,A set of physical quantities which cannot be expressed in terms of any other quantities are known as fundamental quantities. Ex: Length, mass, time.

VII. Short Answer,2,Define mass. Mention its unit.,,Mass is the amount of matter contained in a body. It's unit is kilogram (kg).

VII. Short Answer,3,What are the multiples and sub multiples of mass?,,"The multiples of mass are quintal and metric tonne.
The sub-multiples of mass are gram and milligrams."

VII. Short Answer,4,What is physical quantity? Give example.,,A quantity that can be measured is called a physical quantity. For example, the length of a piece of cloth, the time at which school begins.

VII. Short Answer,5,What do you mean by 'unit'?,,The known measure of a physical quantity is called the unit of measurement.

VIII. Long Answer,1,How will you find the volume of an irregularly shaped object (stone) by using measuring cylinder?,"1. Take a measuring cylinder and pour some water into it.
2. Note down the volume of water from the readings of the measuring cylinder.
3. Take it as V1
4. Now take a small stone and tie it with a thread.
5. Immerse the stone inside the water by holding the thread.
6. This has to be done such that the stone does not touch the walls of the measuring cylinder.
7. Now the level of water has raised.
8. Note down the volume of water and take it to be V2

The volume of the stone is equal to the raise in the volume of water.
V1 = 30cc, V2 = 40cc
Volume of stone = V2 – V1 = 40 – 30 = 10cc"

IX. Problems for practice,1,A piece of iron weighs 230 g and has a volume of 20 cm3. Find the density of iron.,"Mass of iron (m) = 230 g
Volume of iron (v) = 20 cm3
Density = Mass/Volume = 230/20 = 11.5 g/cm3"

IX. Problems for practice,2,Find the mass of silver of volume 50 cm3 and density 10.5 g/cm3,"Mass of silver (M) = ?
Volume of silver (V) = 50 cm3
Density of silver D = 10.5 g/cm3
mass (M) = Density × Volume
= 10.5 x 50 = 525 g"

X. HOTS,1,Why does an iron needle sink in water, but not an iron ship?,,"Iron needle is compact and its density is 7.6 g/cm3 Thus, as the density of iron needle is more than 1 g/cm3 therefore, it sinks in water. However, the iron ship is constructed in such a way that it is mostly hollow from within, thus, the volume of iron ship becomes very large as compared to its mass and hence its density is less than lg/cm3. As the density of iron ship is less than 1g/cm3, therefore it floats in water."

Additional MCQs,1,The unit of volume is _______,"(a) m3
(b) m3
(c) cm3
(d) km",(a) m3

Additional MCQs,2,Physical quantities are classified into _______ type,"(a) three
(b) two
(c) four
(d) none of the above",(b) two

Additional MCQs,3,The SI unit of speed is _______,"(a) m/s2
(b) m/s
(c) km/h
(d) m2/s",(a) m/s2

Additional MCQs,4,1 litre = _______ cc,"(a) 100
(b) 1000
(c) 10
(d) 0.1",1000

Additional MCQs,5,The formula to calculate area of a rectangle is _______,"(a) length × breadth
(b) side × side
(c) π × radius × radius
(d) none of the above",(a) length × breadth
